,program,start_time,start_dt_object,end_time,end_dt_object,play_time,artist,artist_url,track,album,album_url,label,label_url,type
0,Sonic Space,Mon Jan 14 2019 7:00am,2019-01-14 07:00:00,Mon Jan 14 2019 10:00am,2019-01-14 10:00:00,7:01am,Frank Marino & Mahogany Rush,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=16754#here,“Norwegian Wood (This Bird Has Flown)”,Tales Of The Unexpected,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=30227#here,(Columbia Records unk 1979),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=6335#here,
0,Sonic Space,Mon Jan 14 2019 7:00am,2019-01-14 07:00:00,Mon Jan 14 2019 10:00am,2019-01-14 10:00:00,7:05am,Foo Fighters,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=29372#here,“The Sky Is a Neighborhood”,Concrete and Gold,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=374826#here,(RCA 2017),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=317#here,
0,Sonic Space,Mon Jan 14 2019 7:00am,2019-01-14 07:00:00,Mon Jan 14 2019 10:00am,2019-01-14 10:00:00,7:09am,Wolfmother,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=6570#here,“witchcraft”,Wolfmother (10th Anniversary Deluxe Edition),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=445183#here,(Modular / Interscope),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=82542#here,
0,Mystery Train,Mon Jan 21 2019 10:00am,2019-01-21 10:00:00,Mon Jan 21 2019 12:00pm,2019-01-21 12:00:00,10:00am,Wadada Leo Smith,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=10495#here,"“America, Parts 1, 2 & 3 (featuring Pheeroan akLaff and Golden Quartet)”",Ten Freedom Summers,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=91994#here,(Cuneiform www.cuneiformrecords.com 2012),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=2627#here,
0,Mystery Train,Mon Jan 21 2019 10:00am,2019-01-21 10:00:00,Mon Jan 21 2019 12:00pm,2019-01-21 12:00:00,10:03am,Bennie Smith,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=9254#here,“Mystery Train”,Shook Up,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=31471#here,(Fedora 2001),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=4615#here,L
0,Mystery Train,Mon Jan 21 2019 10:00am,2019-01-21 10:00:00,Mon Jan 21 2019 12:00pm,2019-01-21 12:00:00,10:08am,Sister Rosetta Tharpe,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=1108#here,“Strange Things Happening Every Day”,Singing In My Soul,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=63252#here,(Proper 2002),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=228#here,
0,Mystery Train,Mon Jan 14 2019 10:00am,2019-01-14 10:00:00,Mon Jan 14 2019 12:00pm,2019-01-14 12:00:00,10:00am,Trevor Dunn,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=130638#here,“Perfect Crime”,Four Films,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=367881#here,(Tzadik 2008),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=1059#here,
0,Mystery Train,Mon Jan 14 2019 10:00am,2019-01-14 10:00:00,Mon Jan 14 2019 12:00pm,2019-01-14 12:00:00,10:03am,Dilly Dally,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=82469#here,“Purple Rage”,Sore,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=217799#here,(Partisan 2015),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=899#here,
0,Mystery Train,Mon Jan 14 2019 10:00am,2019-01-14 10:00:00,Mon Jan 14 2019 12:00pm,2019-01-14 12:00:00,10:06am,Charles Burst,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=117519#here,“The Famous Patient”,,,(Ernest Jenning Record Co. 2010),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=1575#here,
0,Radio Rio,Mon Jan 14 2019 12:00pm,2019-01-14 12:00:00,Mon Jan 14 2019 2:00pm,2019-01-14 14:00:00,12:01pm,Luiz Bonfà,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=112103#here,“Night and day”,Solo in Rio 1959,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=328572#here,(Folkways Records),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=8583#here,
0,Radio Rio,Mon Jan 14 2019 12:00pm,2019-01-14 12:00:00,Mon Jan 14 2019 2:00pm,2019-01-14 14:00:00,12:03pm,Wanda De Sah With Sergio Mendes,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=19461#here,“Reza”,Brasil 65,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=445224#here,(CAPITOL),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=60#here,
0,Radio Rio,Mon Jan 14 2019 12:00pm,2019-01-14 12:00:00,Mon Jan 14 2019 2:00pm,2019-01-14 14:00:00,12:06pm,Sérgio Ricardo And Milton Banana,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=156717#here,“Zelao (Remastered)”,Bossa Nova at Carnegie Hall (Remastered),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=445227#here,(RevOla),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=18358#here,
0,Dangerous Curves,Mon Jan 21 2019 2:00pm,2019-01-21 14:00:00,Mon Jan 21 2019 4:00pm,2019-01-21 16:00:00,2:01pm,John Barry,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=18672#here,“Beat Girl”,Beat Girl (Original Motion Picture Soundtrack),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=176991#here,(El Records 1984),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=7260#here,
0,Dangerous Curves,Mon Jan 21 2019 2:00pm,2019-01-21 14:00:00,Mon Jan 21 2019 4:00pm,2019-01-21 16:00:00,2:03pm,The Little Willies,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=27047#here,"“Diesel Smoke, Dangerous Curves”",For the Good Times,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=74403#here,(Milking Bull 2012),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=14766#here,
0,Dangerous Curves,Mon Jan 21 2019 2:00pm,2019-01-21 14:00:00,Mon Jan 21 2019 4:00pm,2019-01-21 16:00:00,2:04pm,Nina Miranda,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=64338#here,“Silken Horse”,Freedom of Movement,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=346943#here,(Six Degrees 2017),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=84#here,
0,Dangerous Curves,Mon Jan 14 2019 2:00pm,2019-01-14 14:00:00,Mon Jan 14 2019 4:00pm,2019-01-14 16:00:00,2:02pm,John Barry,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=18672#here,“Beat Girl”,Beat Girl (Original Motion Picture Soundtrack),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=176991#here,(El Records 1984),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=7260#here,
0,Dangerous Curves,Mon Jan 14 2019 2:00pm,2019-01-14 14:00:00,Mon Jan 14 2019 4:00pm,2019-01-14 16:00:00,2:04pm,The Little Willies,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=27047#here,"“Diesel Smoke, Dangerous Curves”",For the Good Times,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=74403#here,(Milking Bull 2012),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=14766#here,
